timestamp,sum_open_interest,sum_open_interest_value
2023-01-01 23:55:00+00:00,1130614.899,1356414061.7610686
2023-01-02 23:55:00+00:00,1121834.115,1361603720.39895
2023-01-03 23:55:00+00:00,1109594.302,1347225017.71632
2023-01-04 23:55:00+00:00,1208215.434,1517760228.1908
2023-01-05 23:55:00+00:00,1207128.426,1508945270.4813526
2023-01-06 23:55:00+00:00,1284670.191,1629985442.2212827
2023-01-07 23:55:00+00:00,1251337.432,1581493573.9330034
2023-01-08 23:55:00+00:00,1271941.671,1635399003.48825
2023-01-09 23:55:00+00:00,1336494.419,1766560086.2470942
2023-01-10 23:55:00+00:00,1366368.694,1824389143.91574
2023-01-11 23:55:00+00:00,1298323.963,1802921166.0453053
2023-01-12 23:55:00+00:00,1279915.871,1813628665.7670748
2023-01-13 23:55:00+00:00,1248778.857,1811503585.54134
2023-01-14 23:55:00+00:00,1034907.537,1606279988.1777
2023-01-15 23:55:00+00:00,1058217.151,1642353018.352
2023-01-16 23:55:00+00:00,1101098.272,1736233777.25504
2023-01-17 23:55:00+00:00,1131016.375,1773003889.7775
2023-01-18 23:55:00+00:00,1117460.074,1690672393.55904
2023-01-19 23:55:00+00:00,1133575.031,1758334705.085929
2023-01-20 23:55:00+00:00,1138329.364,1890867523.24676
2023-01-21 23:55:00+00:00,1135183.099,1844160713.7143056
2023-01-22 23:55:00+00:00,1102450.777,1795963435.04209
2023-01-23 23:55:00+00:00,1073619.428,1749467809.5876362
2023-01-24 23:55:00+00:00,1001976.033,1557509902.139324
2023-01-25 23:55:00+00:00,979256.446,1581479575.16108
2023-01-26 23:55:00+00:00,973782.843,1559552624.7819984
2023-01-27 23:55:00+00:00,988121.401,1576923181.42788
2023-01-28 23:55:00+00:00,991294.406,1556461085.69278
2023-01-29 23:55:00+00:00,1053747.938,1737229626.618345
2023-01-30 23:55:00+00:00,967491.261,1516140677.1389124
2023-01-31 23:55:00+00:00,969375.268,1538576642.2729115
2023-02-01 23:55:00+00:00,1015217.205,1666407570.8177898
2023-02-02 23:55:00+00:00,1013856.818,1666311629.0741134
2023-02-03 23:55:00+00:00,1049604.464,1746367363.0099306
2023-02-04 23:55:00+00:00,1134764.495,1889395792.6998608
2023-02-05 23:55:00+00:00,1037331.535,1692345968.5873437
2023-02-06 23:55:00+00:00,1050258.977,1695668922.840969
2023-02-07 23:55:00+00:00,1107601.464,1852114397.9624133
2023-02-08 23:55:00+00:00,1080055.514,1783713324.9670796
2023-02-09 23:55:00+00:00,1020234.498,1575629754.02124
2023-02-10 23:55:00+00:00,1022981.279,1548906184.34669
2023-02-11 23:55:00+00:00,1005642.629,1549132131.41676
2023-02-12 23:55:00+00:00,970258.714,1466875934.17376
2023-02-13 23:55:00+00:00,1043976.344,1574008749.0008433
2023-02-14 23:55:00+00:00,976256.909,1518460562.0535214
2023-02-15 23:55:00+00:00,944682.792,1583656785.68088
2023-02-16 23:55:00+00:00,893234.101,1463879649.08534
2023-02-17 23:55:00+00:00,930097.859,1576463609.215546
2023-02-18 23:55:00+00:00,967106.848,1637071792.861128
2023-02-19 23:55:00+00:00,955626.944,1606212369.3488312
2023-02-20 23:55:00+00:00,981534.781,1670205997.0885544
2023-02-21 23:55:00+00:00,998751.496,1654232102.8248
2023-02-22 23:55:00+00:00,957006.098,1572374448.804984
2023-02-23 23:55:00+00:00,943001.853,1556529504.5906494
2023-02-24 23:55:00+00:00,976801.893,1570872463.233924
2023-02-25 23:55:00+00:00,982020.718,1565554941.4529734
2023-02-26 23:55:00+00:00,966730.736,1584674689.75856
2023-02-27 23:55:00+00:00,952412.523,1554822967.92273
2023-02-28 23:55:00+00:00,970749.492,1555755052.4042704
2023-03-01 23:55:00+00:00,1015438.494,1690928680.1857483
2023-03-02 23:55:00+00:00,1048062.71,1726218557.1539598
2023-03-03 23:55:00+00:00,950276.259,1489329969.68034
2023-03-04 23:55:00+00:00,957917.989,1499375056.4191878
2023-03-05 23:55:00+00:00,926033.881,1448727771.5405765
2023-03-06 23:55:00+00:00,924784.248,1447849442.870645
2023-03-07 23:55:00+00:00,937774.22,1464400088.7254
2023-03-08 23:55:00+00:00,996655.24,1527082629.8849096
2023-03-09 23:55:00+00:00,920895.626,1324668588.1840775
2023-03-10 23:55:00+00:00,840135.085,1196318755.6366
2023-03-11 23:55:00+00:00,811868.291,1196238385.8465831
2023-03-12 23:55:00+00:00,752531.552,1185835722.371617
2023-03-13 23:55:00+00:00,801014.071,1338764931.60308
