timestamp,sum_open_interest,sum_open_interest_value
2023-01-01 23:55:00+00:00,108830.564,1806837672.6972
2023-01-02 23:55:00+00:00,105352.219,1756474336.0556
2023-01-03 23:55:00+00:00,105110.378,1751940974.161322
2023-01-04 23:55:00+00:00,101498.198,1710214186.8406
2023-01-05 23:55:00+00:00,103949.238,1748563015.830925
2023-01-06 23:55:00+00:00,103539.278,1754461652.4739175
2023-01-07 23:55:00+00:00,105497.848,1786911999.6392
2023-01-08 23:55:00+00:00,104119.714,1776823743.3528
2023-01-09 23:55:00+00:00,103332.126,1776000249.1998
2023-01-10 23:55:00+00:00,113065.419,1970285525.422768
2023-01-11 23:55:00+00:00,106693.896,1913475060.91884
2023-01-12 23:55:00+00:00,108983.083,2055159385.9808
2023-01-13 23:55:00+00:00,111241.425,2215139371.8825
2023-01-14 23:55:00+00:00,93764.75,1967315725.65
2023-01-15 23:55:00+00:00,94253.916,1966673935.0812
2023-01-16 23:55:00+00:00,98021.068,2074635508.4336
2023-01-17 23:55:00+00:00,102083.561,2158999462.382404
2023-01-18 23:55:00+00:00,101584.811,2101657679.3357
2023-01-19 23:55:00+00:00,105152.057,2216559169.85862
2023-01-20 23:55:00+00:00,98555.885,2234577291.782
2023-01-21 23:55:00+00:00,95413.05,2171792314.2859693
2023-01-22 23:55:00+00:00,94239.026,2141327420.4798
2023-01-23 23:55:00+00:00,92177.102,2114736291.7942
2023-01-24 23:55:00+00:00,92350.985,2088517525.775
2023-01-25 23:55:00+00:00,86128.971,1992324061.160218
2023-01-26 23:55:00+00:00,88628.396,2039286214.9224
2023-01-27 23:55:00+00:00,90122.664,2076669509.7528
2023-01-28 23:55:00+00:00,90390.182,2078910912.8726
2023-01-29 23:55:00+00:00,103234.124,2454701000.472
2023-01-30 23:55:00+00:00,93355.541,2130960386.2811527
2023-01-31 23:55:00+00:00,97545.19,2257588964.984236
2023-02-01 23:55:00+00:00,100348.975,2379173848.275
2023-02-02 23:55:00+00:00,97496.256,2289650824.032
2023-02-03 23:55:00+00:00,96766.313,2266485859.0991607
2023-02-04 23:55:00+00:00,98563.961,2297575212.8905
2023-02-05 23:55:00+00:00,102564.024,2353023838.608
2023-02-06 23:55:00+00:00,103008.605,2342870437.8592176
2023-02-07 23:55:00+00:00,101350.574,2357183228.157967
2023-02-08 23:55:00+00:00,104989.943,2408721268.2832
2023-02-09 23:55:00+00:00,99725.63,2172482959.298
2023-02-10 23:55:00+00:00,101847.78,2202952291.504326
2023-02-11 23:55:00+00:00,101930.565,2228406012.03
2023-02-12 23:55:00+00:00,99006.882,2152726436.7024
2023-02-13 23:55:00+00:00,100248.144,2186412020.64
2023-02-14 23:55:00+00:00,103443.876,2295557705.675164
2023-02-15 23:55:00+00:00,108467.563,2639742830.078086
2023-02-16 23:55:00+00:00,108414.525,2555022255.8325963
2023-02-17 23:55:00+00:00,107888.419,2649783837.5312734
2023-02-18 23:55:00+00:00,110183.413,2715779195.3421073
2023-02-19 23:55:00+00:00,107075.046,2604846766.5558
2023-02-20 23:55:00+00:00,111300.906,2761765031.031
2023-02-21 23:55:00+00:00,109693.367,2678312876.256437
2023-02-22 23:55:00+00:00,105347.033,2547196445.6103
2023-02-23 23:55:00+00:00,104235.841,2494941798.3957853
2023-02-24 23:55:00+00:00,105790.853,2452813822.2315
2023-02-25 23:55:00+00:00,109660.959,2540054861.1252
2023-02-26 23:55:00+00:00,106761.605,2511395320.22083
2023-02-27 23:55:00+00:00,100666.015,2364312494.5005
2023-02-28 23:55:00+00:00,103353.359,2388800277.3293967
2023-03-01 23:55:00+00:00,103710.078,2451571816.5876656
2023-03-02 23:55:00+00:00,108443.113,2543684053.863105
2023-03-03 23:55:00+00:00,101571.299,2267426893.2265
2023-03-04 23:55:00+00:00,99460.43,2220662966.653
2023-03-05 23:55:00+00:00,99418.997,2229588486.171869
2023-03-06 23:55:00+00:00,103603.494,2320363405.9707265
2023-03-07 23:55:00+00:00,104667.169,2322124878.0002
2023-03-08 23:55:00+00:00,107056.127,2321805178.548597
2023-03-09 23:55:00+00:00,99032.616,2015055285.5978048
2023-03-10 23:55:00+00:00,96755.462,1946883524.9179847
2023-03-11 23:55:00+00:00,92112.538,1885706304.1046472
2023-03-12 23:55:00+00:00,86517.236,1899563781.8924
2023-03-13 23:55:00+00:00,99251.682,2387852743.546254
2023-03-14 23:55:00+00:00,96622.75,2387132674.675
2023-03-15 23:55:00+00:00,93282.503,2264422937.5850844
2023-03-16 23:55:00+00:00,103805.872,2595375172.9184
2023-03-17 23:55:00+00:00,107231.352,2928863532.852
2023-03-18 23:55:00+00:00,106478.031,2865929377.3648057
2023-03-19 23:55:00+00:00,111961.309,3123048753.246
2023-03-20 23:55:00+00:00,111211.522,3079280226.897
2023-03-21 23:55:00+00:00,110508.861,3104869499.219228
2023-03-22 23:55:00+00:00,102302.836,2787850959.3928137
2023-03-23 23:55:00+00:00,103899.76,2941795274.884089
2023-03-24 23:55:00+00:00,98059.919,2688028305.6199
2023-03-25 23:55:00+00:00,97209.493,2668305533.152655
2023-03-26 23:55:00+00:00,102629.095,2870339557.0618863
2023-03-27 23:55:00+00:00,98842.385,2681584637.5207696
2023-03-28 23:55:00+00:00,102259.053,2787234103.9998
2023-03-29 23:55:00+00:00,109511.276,3102761080.6528
2023-03-30 23:55:00+00:00,101878.975,2853894975.085
2023-03-31 23:55:00+00:00,107656.907,3063910772.2343946
2023-04-01 23:55:00+00:00,105961.485,3014774723.4600983
2023-04-02 23:55:00+00:00,104861.668,2954640763.4366207
2023-04-03 23:55:00+00:00,94262.126,2616905142.012
2023-04-04 23:55:00+00:00,97309.131,2740002697.276708
2023-04-05 23:55:00+00:00,96112.037,2706620685.1607
2023-04-06 23:55:00+00:00,98516.755,2759139053.934
2023-04-07 23:55:00+00:00,101978.693,2844389705.156
2023-04-08 23:55:00+00:00,101865.603,2843734508.1998644
2023-04-09 23:55:00+00:00,103683.473,2935726575.9622865
2023-04-10 23:55:00+00:00,118347.296,3502500059.8496
2023-04-11 23:55:00+00:00,113944.471,3443060080.207
2023-04-12 23:55:00+00:00,113700.363,3395440137.390174
2023-04-13 23:55:00+00:00,111911.107,3396026467.114908
2023-04-14 23:55:00+00:00,99957.371,3045441205.2054
2023-04-15 23:55:00+00:00,101335.518,3069554175.738
2023-04-16 23:55:00+00:00,99974.779,3028151018.692647
2023-04-17 23:55:00+00:00,100537.124,2956123218.1092
2023-04-18 23:55:00+00:00,98961.834,3003560935.1838
2023-04-19 23:55:00+00:00,96398.567,2775748537.4815
2023-04-20 23:55:00+00:00,99015.036,2797016342.9424
2023-04-21 23:55:00+00:00,102306.642,2789549940.3782854
2023-04-22 23:55:00+00:00,104477.705,2905660797.0665
2023-04-23 23:55:00+00:00,103239.72,2846595294.174308
2023-04-24 23:55:00+00:00,102400.925,2816801360.19182
2023-04-25 23:55:00+00:00,101727.085,2880059774.3651924
2023-04-26 23:55:00+00:00,92138.294,2613065468.8638473
2023-04-27 23:55:00+00:00,98965.181,2915217308.441658
2023-04-28 23:55:00+00:00,100443.384,2944271465.5484567
2023-04-29 23:55:00+00:00,100274.392,2928447007.911402
2023-04-30 23:55:00+00:00,98603.845,2888727515.0922694
2023-05-01 23:55:00+00:00,101704.991,2854828585.8727
2023-05-02 23:55:00+00:00,101352.14,2901572090.8742814
2023-05-03 23:55:00+00:00,96881.421,2809067113.7529
2023-05-04 23:55:00+00:00,101150.226,2914117781.0148
2023-05-05 23:55:00+00:00,105066.984,3097626849.0816
2023-05-06 23:55:00+00:00,98576.097,2844205389.770412
2023-05-07 23:55:00+00:00,99776.713,2837739975.655756
2023-05-08 23:55:00+00:00,105483.638,2920521606.270738
2023-05-09 23:55:00+00:00,108366.507,2994545871.1845
2023-05-10 23:55:00+00:00,101812.58,2811481572.7343297
2023-05-11 23:55:00+00:00,108769.133,2935480555.768904
2023-05-12 23:55:00+00:00,106741.877,2859625559.0177
2023-05-13 23:55:00+00:00,107439.308,2876297547.2562304
2023-05-14 23:55:00+00:00,107787.92,2899204020.616
2023-05-15 23:55:00+00:00,107218.265,2913793493.354984
2023-05-16 23:55:00+00:00,108701.108,2936484341.8444
2023-05-17 23:55:00+00:00,107717.295,2949813226.4780526
2023-05-18 23:55:00+00:00,104923.064,2814697591.7832
2023-05-19 23:55:00+00:00,104135.566,2796508557.147
2023-05-20 23:55:00+00:00,104910.991,2843234616.168189
2023-05-21 23:55:00+00:00,106075.082,2836458300.1882
2023-05-22 23:55:00+00:00,105318.849,2826290748.688
2023-05-23 23:55:00+00:00,104986.398,2856974527.1763587
2023-05-24 23:55:00+00:00,114955.388,3026350031.1044
2023-05-25 23:55:00+00:00,112009.395,2963871702.1557846
2023-05-26 23:55:00+00:00,106124.898,2833375589.253
2023-05-27 23:55:00+00:00,108509.587,2911909021.9385
2023-05-28 23:55:00+00:00,111123.88,3121680924.572
2023-05-29 23:55:00+00:00,111665.361,3096592125.891
2023-05-30 23:55:00+00:00,111159.584,3075963544.6144
2023-05-31 23:55:00+00:00,111835.666,3043126756.8262
2023-06-01 23:55:00+00:00,113512.884,3041271241.9932
2023-06-02 23:55:00+00:00,112574.959,3064405046.996226
2023-06-03 23:55:00+00:00,114427.864,3094026457.4824
2023-06-04 23:55:00+00:00,108910.339,2951099891.7474
2023-06-05 23:55:00+00:00,119703.257,3079246583.068
2023-06-06 23:55:00+00:00,109276.405,2971444004.76
2023-06-07 23:55:00+00:00,103134.113,2718130488.3489
2023-06-08 23:55:00+00:00,103365.912,2737370808.17666
2023-06-09 23:55:00+00:00,102600.296,2716804537.932
2023-06-10 23:55:00+00:00,101877.44,2631575777.152
2023-06-11 23:55:00+00:00,99498.324,2577764921.3926454
2023-06-12 23:55:00+00:00,102429.719,2650983557.439
2023-06-13 23:55:00+00:00,103262.894,2674498628.3106
2023-06-14 23:55:00+00:00,103676.104,2603313569.8734994
2023-06-15 23:55:00+00:00,104064.098,2661558584.962539
2023-06-16 23:55:00+00:00,104683.485,2757017539.3995
2023-06-17 23:55:00+00:00,103336.204,2739866446.4764
2023-06-18 23:55:00+00:00,104265.911,2744664561.3907
2023-06-19 23:55:00+00:00,109297.517,2926842940.477107
2023-06-20 23:55:00+00:00,121586.072,3448212211.015957
2023-06-21 23:55:00+00:00,116876.639,3512143001.95
2023-06-22 23:55:00+00:00,117868.697,3524556925.1728
2023-06-23 23:55:00+00:00,115129.513,3523987750.4657
2023-06-24 23:55:00+00:00,113465.673,3465185986.085172
2023-06-25 23:55:00+00:00,113831.688,3466013813.874014
2023-06-26 23:55:00+00:00,114980.488,3479977319.432988
2023-06-27 23:55:00+00:00,116005.417,3561002857.2753954
2023-06-28 23:55:00+00:00,112157.56,3372802144.32
2023-06-29 23:55:00+00:00,118245.274,3600217651.72171
2023-06-30 23:55:00+00:00,106000.787,3231182226.1083126
2023-07-01 23:55:00+00:00,109297.114,3342481472.1443505
2023-07-02 23:55:00+00:00,108567.819,3324529906.8684444
2023-07-03 23:55:00+00:00,117790.91,3668481895.4879255
2023-07-04 23:55:00+00:00,113978.741,3506669945.606
2023-07-05 23:55:00+00:00,112524.927,3431773971.1533
2023-07-06 23:55:00+00:00,103023.136,3085989113.383438
2023-07-07 23:55:00+00:00,103474.852,3135908864.712
2023-07-08 23:55:00+00:00,103417.433,3128808719.7888803
2023-07-09 23:55:00+00:00,102280.534,3083670765.577006
2023-07-10 23:55:00+00:00,105970.925,3221262664.9747953
2023-07-11 23:55:00+00:00,107958.057,3304496756.787693
2023-07-12 23:55:00+00:00,111207.495,3377560675.8915
2023-07-13 23:55:00+00:00,111251.884,3496583682.7964683
2023-07-14 23:55:00+00:00,101218.264,3065720733.642872
2023-07-15 23:55:00+00:00,100166.722,3031265374.5084
2023-07-16 23:55:00+00:00,100914.517,3048244083.4054
2023-07-17 23:55:00+00:00,104796.208,3159267644.505436
2023-07-18 23:55:00+00:00,106871.785,3188690700.331
2023-07-19 23:55:00+00:00,104830.827,3136538343.84
2023-07-20 23:55:00+00:00,109741.984,3267975530.8919835
2023-07-21 23:55:00+00:00,106641.249,3188200100.7285
2023-07-22 23:55:00+00:00,106104.839,3155791342.5058
2023-07-23 23:55:00+00:00,100438.528,3018579520.512
2023-07-24 23:55:00+00:00,111783.054,3261589121.34839
2023-07-25 23:55:00+00:00,108289.552,3164820603.706982
2023-07-26 23:55:00+00:00,109215.116,3203600400.115402
2023-07-27 23:55:00+00:00,109903.596,3209163022.4808
2023-07-28 23:55:00+00:00,107974.662,3163813682.8656344
2023-07-29 23:55:00+00:00,108230.511,3176240806.317
2023-07-30 23:55:00+00:00,106354.161,3112123852.942784
2023-07-31 23:55:00+00:00,108848.649,3181403368.4895754
2023-08-01 23:55:00+00:00,109366.38,3243205315.71
2023-08-02 23:55:00+00:00,112389.114,3275429621.601383
2023-08-03 23:55:00+00:00,111599.595,3257051365.594605
2023-08-04 23:55:00+00:00,114691.666,3337516011.4334
2023-08-05 23:55:00+00:00,112647.61,3273945077.996
2023-08-06 23:55:00+00:00,111146.048,3231871439.9296
2023-08-07 23:55:00+00:00,111593.785,3258237218.7805
2023-08-08 23:55:00+00:00,124013.292,3690445328.5869026
